Reference, Value, Footprint, Datasheet
"R2","15k","v2:0204_5",""
"R3","5k","v2:0204_5",""
"IC1","24SN","v2:SO-08",""
"SJ1","SJW","v2:SJW",""
"D4","5.1v","v2:ZDIO-5",""
"SV3","MA03-1","v2:MA03-1",""
"SV4","MA03-1","v2:MA03-1",""
"SV2","FE08-1","v2:FE08",""
"SV1","MA07-1","v2:MA07-1",""
"U$1","STM32F103C8T6-MODULE","v2:STM32F103C8T6-MODULE",""
"Q1","BC548","v2:TO92-EBC",""
"R9","1k","v2:0204_5",""
"PROG1","MA04-1","v2:MA04-1",""
"D2","1N4148DO35-7","v2:DO35-7",""
"LED1","LED3MM","v2:LED3MM",""
"LED2","LED3MM","v2:LED3MM",""
"LED3","LED3MM","v2:LED3MM",""
"LED4","LED3MM","v2:LED3MM",""
"LED5","LED3MM","v2:LED3MM",""
"R4","1k","v2:0204_5",""
"R5","1k","v2:0204_5",""
"R6","1k","v2:0204_5",""
"R7","1k","v2:0204_5",""
"R8","1k","v2:0204_5",""
"X2","F15HP","v2:F15HP",""
"X3","F15HP","v2:F15HP",""
"J1","1053141206","v2:MOLEX_1053141206",""
"J2","1053141206","v2:MOLEX_1053141206",""
"D3","1N4148DO35-7","v2:DO35-7",""
"X1","MINI-USB_4P-85-32004-10X","v2:85-32004-10X",""
"R1","1k","v2:0204_5",""
"D1","1N4148DO35-7","v2:DO35-7",""
"P2","39-30-?06?","v2:39-30-?06?",""
"D5","5.1v","v2:ZDIO-5",""
"C1","0.1uf","v2:C025-025X050",""
"IC2","4067D","v2:SO24W",""
"DISPLAY1","MA04-1","v2:MA04-1",""
"IC3","74595D","v2:SO16",""
"IC4","74595D","v2:SO16",""
"P1","39-30-?04?","v2:39-30-?04?",""
"F1","TE5","v2:TE5",""
"Q2","BC548","v2:TO92-EBC",""
"Q3","BC558","v2:TO92-EBC",""
"Q6","BC548","v2:TO92-EBC",""
"Q7","BC558","v2:TO92-EBC",""
"Q10","BC548","v2:TO92-EBC",""
"Q11","BC558","v2:TO92-EBC",""
"Q4","BC548","v2:TO92-EBC",""
"Q5","BC558","v2:TO92-EBC",""
"Q8","BC548","v2:TO92-EBC",""
"Q9","BC558","v2:TO92-EBC",""
"Q12","BC548","v2:TO92-EBC",""
"Q13","BC558","v2:TO92-EBC",""
"D8","BZY97","v2:F126Z12",""
"D10","BZY97","v2:F126Z12",""
"D7","BZY97","v2:F126Z12",""
"D11","BZY97","v2:F126Z12",""
"QP2","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"QP3","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"QP4","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"QP5","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"QP1","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"QP6","IRLZ44N","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R10","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R12","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R14","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R17","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R15","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R19","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R21","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R11","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R13","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R18","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R20","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D6","BZY97","v2:F126Z12",""
"D9","BZY97","v2:F126Z12",""
"R22","1k","v2:0204_5",""
"R24","1k","v2:0204_5",""
"R23","1k","v2:0204_5",""
"R25","1k","v2:0204_5",""
"R27","1k","v2:0204_5",""
"IC5","LM358D","v2:SO08",""
"R28","2k","v2:0204_5",""
"R29","1k","v2:0204_5",""
"Q14","BD139","v2:TO126AV",""
"Q16","BD139","v2:TO126AV",""
"Q15","BD139","v2:TO126AV",""
"Q17","BD139","v2:TO126AV",""
"Q19","BD139","v2:TO126AV",""
"R26","1k","v2:0204_5",""
"Q18","BD139","v2:TO126AV",""
"D12","1N4446","v2:DO35-10",""
"D14","1N4446","v2:DO35-10",""
"D13","1N4446","v2:DO35-10",""
"D15","1N4446","v2:DO35-10",""
"D17","1N4446","v2:DO35-10",""
"D16","1N4446","v2:DO35-10",""
"C2","0.001uF","v2:C025-025X050",""
"C5","C-EU025-025X050","v2:C025-025X050",""
"D18","5.1v","v2:ZDIO-5",""
"R31","R-US_0204_5","v2:0204_5",""
"R30","R-US_0204_5","v2:0204_5",""
"C8","0.001uF","v2:C025-025X050",""
"C11","C-EU025-025X050","v2:C025-025X050",""
"D21","5.1v","v2:ZDIO-5",""
"R37","R-US_0204_5","v2:0204_5",""
"R36","R-US_0204_5","v2:0204_5",""
"C3","0.001uF","v2:C025-025X050",""
"C6","C-EU025-025X050","v2:C025-025X050",""
"D19","5.1v","v2:ZDIO-5",""
"R33","R-US_0204_5","v2:0204_5",""
"R32","R-US_0204_5","v2:0204_5",""
"C9","0.001uF","v2:C025-025X050",""
"C12","C-EU025-025X050","v2:C025-025X050",""
"D22","5.1v","v2:ZDIO-5",""
"R39","R-US_0204_5","v2:0204_5",""
"R38","R-US_0204_5","v2:0204_5",""
"C14","0.001uF","v2:C025-025X050",""
"C16","C-EU025-025X050","v2:C025-025X050",""
"D24","5.1v","v2:ZDIO-5",""
"R43","R-US_0204_5","v2:0204_5",""
"R42","R-US_0204_5","v2:0204_5",""
"C15","0.001uF","v2:C025-025X050",""
"C17","C-EU025-025X050","v2:C025-025X050",""
"D25","5.1v","v2:ZDIO-5",""
"R45","R-US_0204_5","v2:0204_5",""
"R44","R-US_0204_5","v2:0204_5",""
"C4","0.001uF","v2:C025-025X050",""
"C7","C-EU025-025X050","v2:C025-025X050",""
"D20","5.1v","v2:ZDIO-5",""
"R35","R-US_0204_5","v2:0204_5",""
"R34","R-US_0204_5","v2:0204_5",""
"C10","0.001uF","v2:C025-025X050",""
"C13","C-EU025-025X050","v2:C025-025X050",""
"D23","5.1v","v2:ZDIO-5",""
"R41","R-US_0204_5","v2:0204_5",""
"R40","R-US_0204_5","v2:0204_5",""
"IC6","LM358D","v2:SO08",""
"C18","0.001uf","v2:C025-025X050",""
"R46","2k","v2:0204_5",""
"C20","0.22uf","v2:C025-025X050",""
"R48","1k","v2:0204_5",""
"R50","1.5k","v2:0204_5",""
"C19","0.001uf","v2:C025-025X050",""
"R47","2k","v2:0204_5",""
"C21","0.22uf","v2:C025-025X050",""
"R49","1k","v2:0204_5",""
"R51","1.5k","v2:0204_5",""
